날짜,스트레스,이직
2025-05-19,79.28642,34.88602
2025-05-20,100.0,30.32705
2025-05-21,94.35084,31.21902
2025-05-22,82.7552,31.71456
2025-05-23,72.05153,28.54311
2025-05-24,65.21308,15.85728
2025-05-25,66.00594,16.25371
2025-05-26,79.38553,36.17443
2025-05-27,77.10604,33.10208
2025-05-28,78.09712,28.54311
2025-05-29,81.26858,29.43508
2025-05-30,77.20515,28.04757
2025-05-31,62.14073,18.23587
2025-06-01,65.80773,16.65014
2025-06-02,77.10604,31.02081
2025-06-03,63.92467,20.61446
2025-06-04,68.58275,30.22794
2025-06-05,71.15956,28.54311
2025-06-06,58.87016,14.37066
2025-06-07,63.82556,15.65906
2025-06-08,68.28543,21.0109
2025-06-09,78.88999,35.18334
2025-06-10,79.48463,33.10208
2025-06-11,77.40336,31.81367
2025-06-12,81.96233,32.01189
2025-06-13,76.70961,27.55203
2025-06-14,64.42021,17.44301
2025-06-15,61.24876,19.32606
2025-06-16,73.63726,34.78691
2025-06-17,71.95242,29.43508
2025-06-18,83.74628,30.32705
2025-06-19,76.51139,27.84935
2025-06-20,72.64618,25.86719
2025-06-21,63.23092,15.26263
2025-06-22,66.89791,19.8216
2025-06-23,72.24975,33.10208
2025-06-24,78.49355,35.48067
2025-06-25,71.45688,29.03865
2025-06-26,73.83548,27.75024
2025-06-27,65.01486,24.97522
2025-06-28,49.95044,17.83944
2025-06-29,52.82457,19.02874
2025-06-30,57.68087,34.29137
2025-07-01,69.97026,32.01189
2025-07-02,67.09613,35.77799
2025-07-03,62.23984,28.74132
2025-07-04,66.30327,27.75024
2025-07-05,52.22993,17.14568
2025-07-06,51.83349,15.26263
2025-07-07,69.27651,30.52527
2025-07-08,60.95143,30.82259
2025-07-09,68.18632,26.46184
2025-07-10,65.5104,29.23686
2025-07-11,61.94251,24.97522
2025-07-12,51.73439,13.77601
2025-07-13,53.1219,17.83944
2025-07-14,66.99702,32.30921
