,id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
162,137404,"Ruffino, Lodola Nuova, Vino Nobile di Montepulciano",Ruffino,Italy,Toscana,Sangiovese,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2007,750
164,137406,"Ruffino, Fonte Al Sole",Ruffino,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,25000,2011,750
165,137407,"Ruffino, Il Ducale Toscana",Ruffino,Italy,Toscana,Sangiovese,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2018,750
166,137408,"Ruffino, Modus",Ruffino,Italy,Toscana,Sangiovese,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,130000,2017,750
169,137411,35 South Reserva Merlot,San Pedro,Chile,Central Valley,Merlot,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,27000,2016,750
171,137413,Amigo Merlot,San Pedro,Chile,Central Valley,Merlot,Red,Table,12~13,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,14000,2017,750
174,137416,"San Pedro, Molina Reserva Carmenere",San Pedro,Chile,Maule Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2017,750
177,137419,"San Pedro, Gato Negro Carmenere",San Pedro,Chile,Central Valley,Carmenere,Red,Table,13~14,17~19,SWEET2,ACIDITY4,BODY3,TANNIN3,25000,2018,750
182,137425,"35 South, Reserva Carmenere",San Pedro,Chile,Central Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,27000,2017,750
184,137429,"Santa Margherita, Sangiovese",Santa Margherita,Italy,Toscana,Sangiovese,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
187,137432,Santa Margherita Merlot,Santa Margherita,Italy,Veneto,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,29000,2016,750
189,137434,"Santa Margherita, Shiraz",Santa Margherita,Italy,Sicilia,Syrah & Shiraz,Red,Table,14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
191,137436,"Trapiche, Astica Merlot Malbec",Trapiche,Argentina,Mendoza,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20000,2018,750
193,137438,"Trapiche, Broquel Malbec",Trapiche,Argentina,Mendoza,Malbec,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,50000,2016,750
194,137439,"Trapiche, Iscay Malbec Cabernet Franc",Trapiche,Argentina,Mendoza,Malbec,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,140000,2013,750
198,137443,"Trapiche, Oak Cask Malbec",Trapiche,Argentina,Mendoza,Malbec,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,35000,2018,750
199,137444,"Trapiche, Single Vineyard Malbec",Trapiche,Argentina,Mendoza,Malbec,Red,Table,14.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2014,750
201,137446,"Trapiche, Malbec",Trapiche,Argentina,Mendoza,Malbec,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,26000,2018,750
202,137447,"Trapiche, Merlot",Trapiche,Argentina,Mendoza,Merlot,Red,Table,13.5,16~19,SWEET2,ACIDITY3,BODY3,TANNIN3,0,2005,750
206,137451,Baron de Brane,Chateau Brane Cantenac  Grand Cru Classe2nd Cru,France,Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,80000,2016,750
208,137454,Les Haut de Brillette,Chateau Brillette,France,Bordeaux,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,60000,2005,750
