,id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
8334,150112,"Callia, Magna Shiraz",Bodegas Callia,Argentina,San Juan,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2006,750
8335,150113,Tortoise Creek Merlot,Tortoise Creek,France,,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2006,750
8340,150118,"Casa Sant'Orsola, Barolo I Siglati",Casa SantOrsola,Italy,Piemonte,Nebbiolo,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN5,0,2008,750
8342,150120,Indomita Polero Merlot,Vina Indomita,Chile,Central Valley,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2015,750
8343,150121,"Finca Casa Alarcon, Tria Vino de la Tierra de Castilla",Finaca Casa Alarcon,Spain,La Mancha,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
8344,150122,Don Jamie,Finaca Casa Alarcon,Spain,La Mancha,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
8348,150128,Terra Natura,Terra Natura,Spain,Alicante,Monastrell,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2014,750
8353,150139,"Domaine Nicolas Croze, Cortes du Rhone Notre Dame de Melinas",Domaine Nicolas Croze,France,Rhone,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
8354,150140,"Caves de Calvisson, Prestige de Calvissons VDT D'OC Merlot ",Caves de Calvisson,France,,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2010,750
8355,150141,"Domaine Chante Cigale, Chateauneuf du Pape",Domaine Chante Cigale,France,Rhone,Grenache,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2007,750
8357,150143,"Domaine Chasselay, Beaujolais Quatre Saisons organic",Domaine Chasselay,France,Bourgogne,Gamay,Red,Table,12,14~16,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2009,750
8358,150144,"Domaine Arthur Barolet & Fils, Chambolle Musigny Premier Cru Les Chatelots",Domaine Arthur Barolet  Fils,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2007,750
8359,150146,"La Grande Chapelle, Bordeaux Rouge",Antoine Moueix,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
8361,150148,"Antoine Moueix, Bordeaux Rouge",Antoine Moueix,France,Bordeaux,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
8364,150151,"Tertre Saint Jacques, Saint Emilion",Antoine Moueix,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
8366,150154,"Cheval Noir, Bordeaux Rouge",Cheval Noir,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2016,750
8368,150156,Bouchard Aine & Fils Nuits Saint Georges,Bouchard Aine  Fils,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY5,BODY4,TANNIN2,170000,2008,750
8373,150161,"Bouchard Aine & Fils, Chambolle Musigny",Bouchard Aine  Fils,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,200000,2008,750
8374,150162,"Bouchard Aine & Fils, Gevrey Chambertin",Bouchard Aine  Fils,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,150000,2008,750
8375,150163,"Trambusti, Badiolo Chianti Riserva ",Trambusti,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2016,750
8376,150164,"Trambusti, Badiolo Chianti ",Trambusti,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2017,750
8377,150165,"Trambusti, Sentimento Rosso",Trambusti,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2012,750
8378,150166,"Trambusti, Antica Torre Rosso",Trambusti,Italy,Toscana,Sangiovese,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,0,0,750
8380,150168,"Trambusti, Antica Torre Sweet Red",Trambusti,Italy,Toscana,Sangiovese,Red,"Table, Dessert",12,16~18,SWEET4,ACIDITY1,BODY3,TANNIN2,0,0,750
8381,150169,"Trambusti, Chianti Classico",Trambusti,Italy,Toscana,Sangiovese,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
8382,150170,"Trambusti, Tenuta Poggio Mandorli",Trambusti,Italy,Toscana,Sangiovese,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
8386,150177,"Solita, Tempranillo",Solita,Spain,,Tempranillo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
8387,150178,Chateau Lamothe Dubourg,Chateau Lamothe,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2009,750
8388,150180,"Errazuriz, Kai",Vina Errazuriz,Chile,Aconcagua,Carmenere,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,300000,2011,750
8392,150185,Finest Chateau Fonguillon Montagne Saint Emilion,Tesco Finest,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,43000,2009,750
8393,150186,Finest Crozes Hermitage,Tesco Finest,France,Rhone,Syrah & Shiraz,Red,Table,12.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,34000,2010,750
8394,150187,Finest Saint Joseph,Tesco Finest,France,Rhone,Syrah & Shiraz,Red,Table,13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750
8395,150188,Finest Hermitage,Tesco Finest,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,89000,2007,750
8396,150189,"Finest, Chateauneuf du Pape",Tesco Finest,France,Rhone,Grenache,Red,Table,14,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,49000,2011,750
8397,150190,Finest Gigondas,Tesco Finest,France,Rhone,Grenache,Red,Table,14.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,45000,2011,750
8400,150193,Finest Nuits Saint Georges,Tesco Finest,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,79000,2007,750
8407,150200,Finest Barbera d'Asti,Tesco Finest,Italy,Piemonte,Barbera,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,23000,2010,750
8409,150202,Finest Barolo,Tesco Finest,Italy,Piemonte,Nebbiolo,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,79000,2012,750
8410,150203,Finest Marlborough Pinot Noir,Tesco Finest,New Zealand,South Island,Pinot Noir,Red,Table,13.5,14~16,SWEET1,ACIDITY5,BODY3,TANNIN3,43000,0,750
8411,150204,Finest San Juan Shiraz,Tesco Finest,Argentina,San Juan,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,0,750
8412,150205,Finest Vina Mara Rioja Reserva,Tesco Finest,Spain,Rioja,Tempranillo,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,34000,2007,750
8413,150206,Finest Vina Mara Rioja Gran Reserva,Tesco Finest,Spain,Rioja,Tempranillo,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,49000,2005,750
8418,150211,"Vina Pomal, Reserva",Codorniu,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,48000,2014,750
8419,150212,"Vina Pomal, Crianza",Codorniu,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,56000,2015,750
8420,150213,"Maluenda, Garnacha Vinas Viejas  ",Maluenda Castillo de Maluenda,Spain,Calatayud,Garnacha,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2011,750
8421,150214,"Maluenda, Crianza",Maluenda Castillo de Maluenda,Spain,Calatayud,Tempranillo,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2007,750
8422,150218,Mount Riley Pinot Noir,Mount Riley,New Zealand,South Island,Pinot Noir,Red,Table,13.5,14~16,SWEET1,ACIDITY5,BODY3,TANNIN3,64000,2010,750
8424,150220,Isla Negra High Tide Merlot,Isla Negra,Chile,Central Valley,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
8425,150221,Isla Negra  High Tide Carmenere,Isla Negra,Chile,Rapel Valley,Carmenere,Red,Table,14.1,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2011,750
8426,150222,Condado de Garrigas,SA Capel Vinos SA,Spain,,Monastrell,Red,Table,12,15~17,SWEET1,ACIDITY3,BODY5,TANNIN4,15000,0,750
8427,150223,Solar de Ricot,SA Capel Vinos SA,Spain,,Tempranillo,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20000,2014,750
8431,150227,Chono San Lorenzo,GEO Wines,Chile,Maipo Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2008,750
8434,150230,Chono Reserva Carmenere,GEO Wines,Chile,Maipo Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,35000,2009,750
8437,150233,Rayun Carmenere,GEO Wines,Chile,Central Valley,Carmenere,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,18000,2010,750
8439,150237,"Handpicked, Yarra Valley Merlot",Handpicked,Australia,Victoria,Merlot,Red,Table,13.36,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2007,750
8441,150239,"Handpicekd, Rolf Binder Signature Shiraz",Handpicked,Australia,South Australia,Syrah & Shiraz,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2008,750
8442,150240,Aurelius,Union de Producteurs de SaintEmilion,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,178000,2005,750
8444,150242,Chateau Tour de Yon,Union de Producteurs de SaintEmilion,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2007,750
8445,150244,Chateau Moulinet,Chateau Moulinet,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN5,160000,2001,750
8446,150245,Galius,Union de Producteurs de SaintEmilion,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,123000,2004,750
8447,150246,Petite Sirene,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2015,750
8452,150251,"Spy Valley, Pinot Noir",Spy Valley,New Zealand,South Island,Pinot Noir,Red,Table,14,14~16,SWEET1,ACIDITY5,BODY3,TANNIN3,0,2016,750
8467,150266,"Santa Ema, Merlot",Santa Ema,Chile,Maipo Valley,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2011,750
8470,150269,"Santa Ema, Reserve Merlot",Santa Ema,Chile,Maipo Valley,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,56000,2014,750
8472,150271,"Domaine Laurent pere et fils, Bourgogne Cuvee MCMXXVI",Domaine Laurent pere et fils,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY5,BODY3,TANNIN2,110000,2011,750
8479,150278,"Feudo Arancio, Pinot Noir",Feudo Arancio,Italy,Sicilia,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN2,0,2015,750
8480,150279,"Feudo Arancio, Syrah",Feudo Arancio,Italy,Sicilia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2015,750
8481,150280,"J. Christopher, Pinot Noir Dundee Hills ",Christopher J Christopher,USA,Oregon,Pinot Noir,Red,Table,13.5,15~16,SWEET1,ACIDITY5,BODY4,TANNIN3,0,2007,750
8482,150281,"J. Christopher, Pinot Noir Willamette Valley ",Christopher J Christopher,USA,Oregon,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY4,TANNIN3,0,2008,750
8484,150283,"Taltarni, Heathcote Shiraz",Taltarni Winery,Australia,Victoria,Syrah & Shiraz,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
8488,150287,Chateau Vieux Despagnet,Phillippe Faure,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,130000,2007,750
8490,150289,Chateau Tayac,Chateau Tayac,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,120000,2007,750
8493,150292,"Le Grand Marquis, Chateau saint sauveur duplessis",Maison Riviere,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
8494,150293,"Le Grand Marquis, Chateau Moulin du Peyrat",Maison Riviere,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
8497,150296,"F.ili Corsi, Toscano Rosso",Casa Vinicola Filli Corsi,Italy,Toscana,Sangiovese,Red,Table,12,15~17,SWEET1,ACIDITY3,BODY3,TANNIN2,0,0,750
8499,150298,"F.ili corsi, Casalcorsi Rosso ",Casa Vinicola Filli Corsi,Italy,Toscana,Sangiovese,Red,Table,12,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750
8500,150299,Fili Corsi Chianti,Casa Vinicola Filli Corsi,Italy,Toscana,Sangiovese,Red,Table,12.5,18~20,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2013,750
8501,150300,"Streda, Casanova",Streda,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
8502,150301,"Streda, Syrah",Streda,Italy,Toscana,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750
8509,150310,"San Jose de Apalta, Tradition Merlot",San Jose de Apalta,Chile,Rapel Valley,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
8511,150313,"San Jose de Apalta, Reserve Merlot",San Jose de Apalta,Chile,Rapel Valley,Merlot,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
8512,150314,"San Jose de Apalta, Reserve Carmenere",San Jose de Apalta,Chile,Rapel Valley,Carmenere,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
8514,150316,Chateau du Vallier,Chateau du Vallier,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750
8522,150324,"Esterhazy, Schneiderteil",Esterhazy,Austria,Burgenland,Merlot,Red,Table,14,17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2008,750
8527,150330,"Luce Della Vite, Brunello di Montalcino",Luce Della Vite,Italy,Toscana,Sangiovese,Red,Table,15~16,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,286000,2012,750
8528,150331,"Castellare, I Sodi San Niccolo ",Castellare di Castellina,Italy,Toscana,Sangiovese,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,174000,2016,750
8531,150337,"E.Guigal, Cote Rotie La Mouline",E Guigal,France,Rhone,Syrah & Shiraz,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,900000,2011,750
8532,150339,"E.Guigal, Cote Rotie La Landonne",E Guigal,France,Rhone,Syrah & Shiraz,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,900000,2010,750
8534,150342,"Domaine A.et P. de Villaine, Bourgogne La Fortune",De Villaine Domaine A et P de Villaine,France,Bourgogne,Pinot Noir,Red,Table,,,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2017,750
8538,150346,David Stone Pinot Noir,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,14800,0,750
8539,150347,David Stone Merlot,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,14800,0,750
8540,150349,Fantini Primo Sangiovese Merlot,Fantini Group,Italy,Abruzzo,Sangiovese,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2017,750
8548,150357,Martin Cendoya Reserva,Heredad Ugarte,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,140000,2007,750
8549,150358,Dominio de Ugarte Reserva,Heredad Ugarte,Spain,,Tempranillo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2010,750
8550,150359,Heredad Ugarte Crianza,Heredad Ugarte,Spain,Rioja,Tempranillo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2010,750
8551,150360,Ugarte,Heredad Ugarte,Spain,Rioja,Tempranillo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,35000,2011,750
8552,150361,Mercedes Eguren Shyraz Tempranillo,Heredad Ugarte,Spain,Rioja,Tempranillo,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,38000,2015,750
8555,150364,"Fra Guerau, Crianza",Fra Guerau,Spain,,Merlot,Red,Table,13,14~16,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
8556,150365,"Castillo de Anna, Tinto Semi-Dulce",Anecoop,Spain,Valencia,Monastrell,Red,Table,12.5,12~14,SWEET3,ACIDITY2,BODY3,TANNIN3,0,0,750
8562,150371,"Albert Bichot, Nuits Saint Georges Domaine du Clos Frantin",Albert Bichot,France,Bourgogne,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2015,750
8568,150377,"San Pedro, Tierras Moradas",San Pedro,Chile,Maule Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,200000,2016,750
8574,150384,"San Pedro, Kankana",San Pedro,Chile,Coquimbo,Syrah & Shiraz,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,200000,2016,750
8575,150385,"Ginestet, Prestige Bordeaux",Maison Ginestet,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN3,28000,2007,750
8578,150388,Wild Vines Cherry Pomegranate Pinot Noir,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Pinot Noir,Red,Table,,,SWEET2,ACIDITY3,BODY3,TANNIN2,0,0,750
8581,150391,Chateau d'Ourbenac,Chateau Ourbenac,France,Southwest France,Malbec,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN5,50000,2009,750
8582,150392,Chateau Petit Boyer Top Cuvee,Chateau Petit Boyer,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2006,750
8589,150401,Marques de Casa Concha Syrah,Concha y Toro,Chile,Maipo Valley,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,70000,2016,750
8592,150404,Marques de Casa Concha Carmenere,Concha y Toro,Chile,Rapel Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2016,750
8598,150410,Barbadillo The Bullseye Red,SA Bodegas Barbadillo SA,Spain,,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
8599,150411,Altovinum Evodia,Bodegas San Alejandro,Spain,Calatayud,Garnacha,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,50000,2016,750
8600,150412,Las Rocas Garnacha,Bodegas San Alejandro,Spain,Calatayud,Garnacha,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2009,750
8601,150413,Las Rocas Vinas Viejas,Bodegas San Alejandro,Spain,Calatayud,Garnacha,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
8604,150416,Ribera del Ruecas,Ruiz Torres Bodegas Ruiz Torres,Spain,,Tempranillo,Red,Table,11,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2009,750
8605,150417,Ribera del Ruecas Semi Sweet,Ruiz Torres Bodegas Ruiz Torres,Spain,,Tempranillo,Red,Table,11~12,15~17,SWEET3,ACIDITY2,BODY3,TANNIN2,0,2009,750
8609,150421,Grussius,La Cave de Gruissan,France,Southern France,Syrah & Shiraz,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2009,750
8610,150422,Cotes du Rhone Cuvee Special S,Domaine le Vieux Lavoir,France,Rhone,Grenache,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
8611,150423,"Domaine le Vieux Lavoir, Vin de Pay du Gard Rouge",Domaine le Vieux Lavoir,France,,Grenache,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2008,750
8612,150424,"Domaine le Vieux Lavoir, Cotes du Rhone Rouge ",Domaine le Vieux Lavoir,France,,Grenache,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
8613,150425,Pucara Reservado Merlot,Vina Alto Roble,Chile,Curico Valley,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
8617,150429,"La Piuma, Sangiovese di Romagna ",La Piuma,Italy,,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2009,750
8622,150434,"Castell del Remei, ODA",Castell del Remei,Spain,,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,99000,2016,750
8624,150437,"Castell del Remei, Gotim Bru",Castell del Remei,Spain,,Tempranillo,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2016,750
8625,150438,Pleno Navarra Tempranillo,Bodegas Principe de Viana,Spain,Navarra,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,28000,2010,750
8626,150439,Rioja Vega Selected Tempranillo,Rioja Vega,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
8627,150440,Rioja Vega Crinaza,Rioja Vega,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2008,750
8628,150441,Rioja Vega Reserva,Rioja Vega,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2006,750
8629,150442,Rioja Vega Gran Reserva,Rioja Vega,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2011,750
8634,150447,Blason Bourgogne Pinot Noir,Blason de Bourgogne,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY5,BODY2,TANNIN2,28800,0,750
8635,150448,Blason Mercurey,Blason de Bourgogne,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,34000,0,750
8637,150451,"Star Angel, Syrah  ",Star Angel by Montes,USA,California,Syrah & Shiraz,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,83000,2009,750
8638,150452,"Kaiken, Terrior Series Malbec",Kaiken Kaiken by Montes,Argentina,Mendoza,Malbec,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,35000,2017,750
8639,150453,"Kaiken, Mai",Kaiken Kaiken by Montes,Argentina,Mendoza,Malbec,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,180000,2016,750
8641,150455,Chateau Martino Rouge,Chateau Martino,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
8645,150459,Chateau La Gorce,Chateau La gorce,France,Bordeaux,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
8648,150464,Chateau La Croix du Casse,Chateau La Croix du Casse,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2008,750
8650,150468,Riviera,Borie Manoux,France,Bordeaux,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750
8651,150469,Prince de La Riviere,Chateau de La Riviere,France,Bordeaux,Merlot,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,61000,2010,750
8652,150470,Les Sources du Chateau de La Riviere,Chateau de La Riviere,France,Bordeaux,Merlot,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,80000,2009,750
8653,150471,Chateau de La Riviere,Chateau de La Riviere,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,165000,2006,750
8654,150472,"Albert Bichot, Beaujolais-Villages Nouveau ",Albert Bichot,France,Bourgogne,Gamay,Red,Table,13,12~14,SWEET2,ACIDITY3,BODY2,TANNIN2,35000,2018,750
8655,150473,"Albert Bichot, Beaujolais Nouveau ",Albert Bichot,France,Bourgogne,Gamay,Red,Table,,,SWEET1,ACIDITY3,BODY2,TANNIN2,26000,2011,750
8656,150474,Vieux Chateau Des Combes,Vieux Chateau Des Combes,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
8657,150475,Chateau Lamothe Saint Germain,UNIVITIS EN BORDEAUX,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,27000,2016,750
8658,150476,Lacrimus 5,Lacrimus,Spain,Rioja,Tempranillo,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN2,19900,2010,750
8662,150480,T-Sanzo Tinto,TSanzo,Spain,Rioja,Tempranillo,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,29900,2007,750
8663,150481,"Perelada, Fabiola",Perelada Castillo de Perelada,Spain,EmpordaAmporda,Garnacha,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,100000,2015,750
8666,150484,Marques de Caceres Reserva Paco Rabanne Edition,Marques de Caceres,Spain,Rioja,Tempranillo,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2005,750
8672,150490,"Trapiche, Melodias Malbec",Trapiche,Argentina,Mendoza,Malbec,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,26000,2018,750
