날짜,스트레스,날짜,퇴사
2025-01-17,46.42857,2025-01-17,56.25
2025-01-18,33.92857,2025-01-18,29.46428
2025-01-19,30.35714,2025-01-19,35.71428
2025-01-20,39.28571,2025-01-20,62.5
2025-01-21,45.53571,2025-01-21,58.92857
2025-01-22,66.07142,2025-01-22,63.39285
2025-01-23,42.85714,2025-01-23,67.85714
2025-01-24,53.57142,2025-01-24,53.57142
2025-01-25,32.14285,2025-01-25,22.32142
2025-01-26,40.17857,2025-01-26,24.10714
2025-01-27,34.82142,2025-01-27,18.75
2025-01-28,27.67857,2025-01-28,16.07142
2025-01-29,36.60714,2025-01-29,19.64285
2025-01-30,30.35714,2025-01-30,30.35714
2025-01-31,33.03571,2025-01-31,58.92857
2025-02-01,40.17857,2025-02-01,48.21428
2025-02-02,35.71428,2025-02-02,34.82142
2025-02-03,50.0,2025-02-03,91.96428
2025-02-04,52.67857,2025-02-04,66.07142
2025-02-05,47.32142,2025-02-05,72.32142
2025-02-06,43.75,2025-02-06,52.67857
2025-02-07,58.92857,2025-02-07,50.0
2025-02-08,26.78571,2025-02-08,47.32142
2025-02-09,33.03571,2025-02-09,39.28571
2025-02-10,49.10714,2025-02-10,61.60714
2025-02-11,55.35714,2025-02-11,71.42857
2025-02-12,61.60714,2025-02-12,70.53571
2025-02-13,53.57142,2025-02-13,64.28571
2025-02-14,56.25,2025-02-14,69.64285
2025-02-15,41.96428,2025-02-15,31.25
2025-02-16,43.75,2025-02-16,37.5
2025-02-17,64.28571,2025-02-17,67.85714
2025-02-18,66.07142,2025-02-18,56.25
2025-02-19,59.82142,2025-02-19,66.96428
2025-02-20,66.96428,2025-02-20,54.46428
2025-02-21,55.35714,2025-02-21,59.82142
2025-02-22,46.42857,2025-02-22,25.0
2025-02-23,43.75,2025-02-23,26.78571
2025-02-24,54.46428,2025-02-24,74.10714
2025-02-25,66.07142,2025-02-25,78.57142
2025-02-26,66.96428,2025-02-26,77.67857
2025-02-27,78.57142,2025-02-27,68.75
2025-02-28,52.67857,2025-02-28,57.14285
2025-03-01,35.71428,2025-03-01,32.14285
2025-03-02,36.60714,2025-03-02,24.10714
2025-03-03,50.89285,2025-03-03,42.85714
2025-03-04,59.82142,2025-03-04,50.0
2025-03-05,54.46428,2025-03-05,70.53571
2025-03-06,68.75,2025-03-06,62.5
2025-03-07,51.78571,2025-03-07,66.96428
2025-03-08,31.25,2025-03-08,34.82142
2025-03-09,44.64285,2025-03-09,41.07142
2025-03-10,66.07142,2025-03-10,70.53571
2025-03-11,50.89285,2025-03-11,75.89285
2025-03-12,64.28571,2025-03-12,77.67857
2025-03-13,75.89285,2025-03-13,61.60714
2025-03-14,62.5,2025-03-14,48.21428
2025-03-15,41.96428,2025-03-15,26.78571
2025-03-16,42.85714,2025-03-16,33.92857
2025-03-17,65.17857,2025-03-17,65.17857
2025-03-18,53.57142,2025-03-18,53.57142
2025-03-19,66.07142,2025-03-19,64.28571
2025-03-20,68.75,2025-03-20,56.25
2025-03-21,54.46428,2025-03-21,50.89285
2025-03-22,40.17857,2025-03-22,36.60714
2025-03-23,46.42857,2025-03-23,38.39285
2025-03-24,52.67857,2025-03-24,71.42857
2025-03-25,71.42857,2025-03-25,56.25
2025-03-26,63.39285,2025-03-26,55.35714
2025-03-27,50.0,2025-03-27,79.46428
2025-03-28,53.57142,2025-03-28,52.67857
2025-03-29,44.64285,2025-03-29,23.21428
2025-03-30,37.5,2025-03-30,38.39285
2025-03-31,52.67857,2025-03-31,85.71428
2025-04-01,46.42857,2025-04-01,50.89285
2025-04-02,41.07142,2025-04-02,57.14285
2025-04-03,44.64285,2025-04-03,50.89285
2025-04-04,45.53571,2025-04-04,43.75
2025-04-05,52.67857,2025-04-05,24.10714
2025-04-06,33.92857,2025-04-06,48.21428
2025-04-07,50.0,2025-04-07,67.85714
2025-04-08,57.14285,2025-04-08,64.28571
2025-04-09,55.35714,2025-04-09,62.5
2025-04-10,52.67857,2025-04-10,56.25
2025-04-11,60.71428,2025-04-11,53.57142
2025-04-12,41.07142,2025-04-12,20.53571
2025-04-13,31.25,2025-04-13,26.78571
2025-04-14,46.42857,2025-04-14,63.39285
2025-04-15,48.21428,2025-04-15,71.42857
2025-04-16,58.92857,2025-04-16,66.96428
2025-04-17,56.25,2025-04-17,60.71428
2025-04-18,54.46428,2025-04-18,54.46428
2025-04-19,36.60714,2025-04-19,41.07142
2025-04-20,25.0,2025-04-20,29.46428
2025-04-21,66.07142,2025-04-21,67.85714
2025-04-22,46.42857,2025-04-22,55.35714
2025-04-23,50.0,2025-04-23,60.71428
2025-04-24,70.53571,2025-04-24,52.67857
2025-04-25,52.67857,2025-04-25,41.07142
2025-04-26,38.39285,2025-04-26,20.53571
2025-04-27,37.5,2025-04-27,35.71428
2025-04-28,48.21428,2025-04-28,70.53571
2025-04-29,59.82142,2025-04-29,62.5
2025-04-30,42.85714,2025-04-30,72.32142
2025-05-01,39.28571,2025-05-01,25.0
2025-05-02,50.0,2025-05-02,43.75
2025-05-03,32.14285,2025-05-03,26.78571
2025-05-04,33.92857,2025-05-04,25.89285
2025-05-05,38.39285,2025-05-05,28.57142
2025-05-06,42.85714,2025-05-06,32.14285
2025-05-07,44.64285,2025-05-07,68.75
2025-05-08,46.42857,2025-05-08,56.25
2025-05-09,50.0,2025-05-09,58.03571
2025-05-10,34.82142,2025-05-10,20.53571
2025-05-11,41.07142,2025-05-11,27.67857
2025-05-12,59.82142,2025-05-12,59.82142
2025-05-13,50.0,2025-05-13,75.0
2025-05-14,64.28571,2025-05-14,57.14285
2025-05-15,64.28571,2025-05-15,39.28571
2025-05-16,58.03571,2025-05-16,57.14285
2025-05-17,39.28571,2025-05-17,22.32142
2025-05-18,37.5,2025-05-18,20.53571
2025-05-19,66.96428,2025-05-19,77.67857
2025-05-20,72.32142,2025-05-20,39.28571
2025-05-21,70.53571,2025-05-21,65.17857
2025-05-22,65.17857,2025-05-22,68.75
2025-05-23,55.35714,2025-05-23,49.10714
2025-05-24,41.96428,2025-05-24,32.14285
2025-05-25,39.28571,2025-05-25,30.35714
2025-05-26,72.32142,2025-05-26,63.39285
2025-05-27,60.71428,2025-05-27,63.39285
2025-05-28,54.46428,2025-05-28,69.64285
